service_type,category_id,zip_code,price_paid,units,unit_type,company_name,job_description
ac deep cleaning,hvac,110001,1299,1,ACs,Urban Company,Window AC deep cleaning Delhi
ac deep cleaning,hvac,400001,1399,1,ACs,Urban Company,Window AC deep cleaning Mumbai
ac deep cleaning,hvac,560001,1199,1,ACs,HomeCare,Window AC deep cleaning Bangalore
ac deep cleaning,hvac,600001,1099,1,ACs,Urban Company,Window AC deep cleaning Chennai
ac deep cleaning,hvac,500001,1099,1,ACs,Urban Company,Window AC deep cleaning Hyderabad
ac repair,hvac,110001,1800,1,ACs,Urban Company,PCB repair split AC
ac repair,hvac,110001,3500,1,ACs,CoolFix,Compressor repair 1.5 ton
ac repair,hvac,400001,2000,1,ACs,Mumbai Cool Tech,Fan motor replacement
ac repair,hvac,560001,1500,1,ACs,Local Technician,Capacitor replacement
ac installation,hvac,400001,1899,1,ACs,Urban Company,Split AC install Mumbai 5ft pipe
ac installation,hvac,560001,1699,1,ACs,Urban Company,Split AC install Bangalore
ac installation,hvac,122001,1799,1,ACs,Urban Company,Split AC install Gurgaon
bathroom cleaning,cleaning,110001,999,1,areas,Urban Company,Single bathroom deep clean
bathroom cleaning,cleaning,400001,1099,1,areas,Urban Company,Single bathroom Mumbai
kitchen deep clean,cleaning,110001,1499,1,areas,Urban Company,Kitchen with chimney cleaning
kitchen deep clean,cleaning,400001,1699,1,areas,Urban Company,Kitchen cleaning Mumbai
carpet cleaning,cleaning,110001,1499,3,items,Urban Company,3 room carpet shampooing
carpet cleaning,cleaning,400001,1699,3,items,Urban Company,3 room carpet Mumbai
mattress cleaning,cleaning,110001,599,1,items,Urban Company,Queen size mattress cleaning
mattress cleaning,cleaning,560001,599,1,items,Urban Company,Queen mattress Bangalore
post-construction cleaning,cleaning,110001,6999,2,BHK,Urban Company,2BHK post renovation
post-construction cleaning,cleaning,400001,7999,2,BHK,HouseJoy,2BHK post renovation Mumbai
move-out cleaning,cleaning,110001,3999,2,BHK,Urban Company,2BHK end of lease cleaning
move-out cleaning,cleaning,560001,3499,2,BHK,Urban Company,2BHK move-out Bangalore
bed bug treatment,pest-control,110001,2499,2,rooms,Urban Company,2 room heat treatment
bed bug treatment,pest-control,400001,2799,2,rooms,Hicare,2 room treatment Mumbai
bed bug treatment,pest-control,560001,2299,2,rooms,Urban Company,2 room Bangalore
rat control,pest-control,110001,1799,2,BHK,Urban Company,2BHK rodent proofing
rat control,pest-control,400001,1999,2,BHK,Hicare,2BHK Mumbai
rat control,pest-control,560001,1599,2,BHK,Urban Company,2BHK Bangalore
mosquito fogging,pest-control,110001,999,2,BHK,Urban Company,2BHK fogging treatment
mosquito fogging,pest-control,400001,1099,2,BHK,Hicare,2BHK fogging Mumbai
exterior painting,home-exterior,110001,35000,1000,sq ft,Asian Paints,Exterior weather proof
exterior painting,home-exterior,400001,40000,1000,sq ft,Asian Paints,Exterior Mumbai
exterior painting,home-exterior,560001,32000,1000,sq ft,Berger Paints,Exterior Bangalore
wall texture,home-exterior,110001,4500,100,sq ft,Asian Paints,Texture per 100 sqft
wall texture,home-exterior,400001,5000,100,sq ft,Asian Paints,Texture Mumbai
bathroom waterproofing,home-exterior,110001,8000,50,sq ft,Dr Fixit,Single bathroom
bathroom waterproofing,home-exterior,400001,9000,50,sq ft,Pidilite,Single bathroom Mumbai
bathroom waterproofing,home-exterior,560001,7000,50,sq ft,Local Contractor,Single bathroom Bangalore
pipe replacement,plumbing,110001,2500,10,ft,Urban Company,10ft CPVC pipe replacement
pipe replacement,plumbing,400001,3000,10,ft,Local Plumber,10ft pipe Mumbai
toilet installation,plumbing,110001,2999,1,fixtures,Urban Company,Western commode install
toilet installation,plumbing,400001,3499,1,fixtures,Local Plumber,Commode install Mumbai
toilet installation,plumbing,560001,2799,1,fixtures,Urban Company,Commode install Bangalore
faucet repair,plumbing,110001,399,1,leaks,Urban Company,Tap washer replacement
faucet repair,plumbing,400001,499,1,leaks,Urban Company,Tap repair Mumbai
faucet repair,plumbing,560001,399,1,leaks,Urban Company,Tap repair Bangalore
faucet repair,plumbing,600001,349,1,leaks,Local Plumber,Tap repair Chennai
faucet repair,plumbing,500001,349,1,leaks,Urban Company,Tap repair Hyderabad
faucet repair,plumbing,700001,299,1,leaks,Local Plumber,Tap repair Kolkata
MCB installation,electrical,110001,1500,1,units,Urban Company,MCB box with 6 circuits
MCB installation,electrical,400001,1800,1,units,Local Electrician,MCB box Mumbai
light fixture install,electrical,110001,499,1,lights,Urban Company,Ceiling fan installation
light fixture install,electrical,400001,599,1,lights,Urban Company,Fan install Mumbai
light fixture install,electrical,560001,449,1,lights,Urban Company,Fan install Bangalore
light fixture install,electrical,110001,999,4,lights,Urban Company,4 LED downlight install
chandelier installation,electrical,110001,1999,1,lights,Urban Company,Large chandelier setup
inverter installation,electrical,400001,2499,1,units,Urban Company,Inverter install Mumbai
inverter installation,electrical,560001,1999,1,units,Urban Company,Inverter install Bangalore
inverter installation,electrical,600001,1799,1,units,Local Electrician,Inverter Chennai
battery replacement,electrical,110001,999,1,units,Urban Company,Inverter battery swap
battery replacement,electrical,400001,1199,1,units,Urban Company,Battery swap Mumbai
engine oil change,auto-repair,110001,1499,1,units,GoMechanic,Synthetic oil + filter
engine oil change,auto-repair,400001,1699,1,units,GoMechanic,Synthetic oil Mumbai
engine oil change,auto-repair,560001,1499,1,units,GoMechanic,Synthetic oil Bangalore
tyre replacement,auto-repair,400001,5000,1,units,CEAT Dealer,Single tyre 185/65 R15 Mumbai
tyre replacement,auto-repair,560001,4500,1,units,Apollo Dealer,Single tyre Bangalore
wheel alignment,auto-repair,400001,899,1,units,GoMechanic,Wheel alignment Mumbai
wheel alignment,auto-repair,560001,799,1,units,GoMechanic,Wheel alignment Bangalore
car ac gas refill,auto-repair,400001,3299,1,units,GoMechanic,Full AC gas Mumbai
car ac gas refill,auto-repair,560001,2999,1,units,GoMechanic,Full AC gas Bangalore
brake pads replacement,auto-repair,400001,2999,1,units,GoMechanic,Front pads Mumbai
brake pads replacement,auto-repair,560001,2499,1,units,GoMechanic,Front pads Bangalore
brake pads replacement,auto-repair,600001,2299,1,units,Local Garage,Front pads Chennai
brake pads replacement,auto-repair,500001,2299,1,units,GoMechanic,Front pads Hyderabad
